round,team_id,home_rk,home_gp,home_w,home_d,home_l,home_gf,home_ga,home_p
18,94,4,9,6,2,1,20,10,20
18,31,15,9,2,4,3,9,11,10
18,54,10,9,5,1,3,15,10,16
18,6,17,9,2,2,5,11,11,8
18,11,14,9,4,2,3,11,10,14
18,36,9,9,4,4,1,16,11,16
18,4,8,9,5,2,2,16,12,17
18,91,11,9,4,4,1,11,6,16
18,2,12,9,4,3,2,17,12,15
18,17,16,9,3,1,5,12,15,10
18,21,19,9,2,0,7,10,21,6
18,90,18,9,2,2,5,7,10,8
18,39,20,9,0,1,8,7,23,1
19,3,1,10,9,1,0,26,5,28
19,43,2,9,8,0,1,25,6,24
19,7,3,9,7,1,1,15,7,22
19,14,6,10,6,2,2,15,10,20
19,8,13,10,4,3,3,15,11,15
19,1,7,10,5,3,2,18,13,18
19,56,5,10,5,5,0,16,8,20
19,11,14,9,4,2,3,11,10,14
19,94,4,10,6,3,1,20,10,21
19,31,15,10,2,5,3,10,12,11
19,54,10,9,5,1,3,15,10,16
19,6,17,9,2,2,5,11,11,8
19,4,8,9,5,2,2,16,12,17
19,36,9,9,4,4,1,16,11,16
19,91,11,9,4,4,1,11,6,16
19,2,12,9,4,3,2,17,12,15
19,17,16,10,3,1,6,12,17,10
19,21,19,10,2,1,7,12,23,7
19,90,18,10,2,2,6,8,13,8
19,39,20,9,0,1,8,7,23,1
20,3,1,10,9,1,0,26,5,28
20,43,2,10,8,1,1,26,7,25
20,7,3,10,8,1,1,18,8,25
20,14,7,10,6,2,2,15,10,20
20,8,13,10,4,3,3,15,11,15
20,1,9,10,5,3,2,18,13,18
20,94,4,10,6,3,1,20,10,21
20,56,5,10,5,5,0,16,8,20
20,4,6,10,6,2,2,18,12,20
20,36,8,10,5,4,1,18,11,19
20,54,10,10,5,2,3,17,12,17
20,11,14,10,4,2,4,13,14,14
20,6,17,10,2,3,5,12,12,9
20,31,15,10,2,5,3,10,12,11
20,91,12,10,4,4,2,13,9,16
20,2,11,10,4,4,2,18,13,16
20,17,16,10,3,1,6,12,17,10
20,21,19,10,2,1,7,12,23,7
20,90,18,10,2,2,6,8,13,8
20,39,20,10,1,1,8,10,23,4
21,3,1,11,9,2,0,26,5,29
21,43,2,11,8,2,1,27,8,26
21,7,3,10,8,1,1,18,8,25
21,14,8,10,6,2,2,15,10,20
21,94,4,11,7,3,1,23,10,24
21,4,5,11,7,2,2,22,15,23
21,1,11,10,5,3,2,18,13,18
21,8,13,10,4,3,3,15,11,15
21,54,7,11,6,2,3,19,13,20
21,56,6,10,5,5,0,16,8,20
21,36,9,10,5,4,1,18,11,19
21,11,14,11,4,3,4,14,15,15
21,31,15,11,2,6,3,10,12,12
21,6,17,10,2,3,5,12,12,9
21,91,10,11,5,4,2,16,11,19
21,2,12,10,4,4,2,18,13,16
21,17,16,10,3,1,6,12,17,10
21,21,19,11,2,1,8,13,25,7
21,90,18,11,2,3,6,10,15,9
21,39,20,10,1,1,8,10,23,4
22,3,1,11,9,2,0,26,5,29
22,43,2,11,8,2,1,27,8,26
22,7,3,11,8,1,2,18,9,25
22,14,8,11,6,3,2,16,11,21
22,1,7,11,6,3,2,20,13,21
22,8,13,11,5,3,3,17,11,18
22,94,4,11,7,3,1,23,10,24
22,4,6,11,7,2,2,22,15,23
22,56,5,11,6,5,0,18,9,23
22,11,14,11,4,3,4,14,15,15
22,54,10,11,6,2,3,19,13,20
22,36,9,11,5,5,1,19,12,20
22,31,15,11,2,6,3,10,12,12
22,6,17,11,2,3,6,13,14,9
22,91,12,11,5,4,2,16,11,19
22,2,11,11,5,4,2,19,13,19
22,17,16,11,3,2,6,12,17,11
22,21,19,11,2,1,8,13,25,7
22,90,18,11,2,3,6,10,15,9
22,39,20,11,1,2,8,10,23,5
23,3,2,12,9,2,1,28,8,29
23,43,1,12,9,2,1,29,8,29
23,7,3,11,8,1,2,18,9,25
23,1,9,11,6,3,2,20,13,21
23,8,13,11,5,3,3,17,11,18
23,14,10,11,6,3,2,16,11,21
23,54,6,12,7,2,3,21,14,23
23,94,4,12,7,3,2,23,12,24
23,4,7,12,7,2,3,22,17,23
23,11,14,12,4,4,4,15,16,16
23,56,5,11,6,5,0,18,9,23
23,36,11,11,5,5,1,19,12,20
23,91,8,12,6,4,2,19,13,22
23,6,19,11,2,3,6,13,14,9
23,31,15,12,2,6,4,11,15,12
23,2,12,11,5,4,2,19,13,19
23,17,16,11,3,2,6,12,17,11
23,21,18,12,3,1,8,16,26,10
23,90,17,12,2,4,6,12,17,10
23,39,20,11,1,2,8,10,23,5
24,3,2,12,9,2,1,28,8,29
24,43,1,12,9,2,1,29,8,29
24,7,4,12,8,1,3,18,10,25
24,1,6,12,7,3,2,23,15,24
24,8,12,12,6,3,3,20,13,21
24,14,7,12,7,3,2,20,12,24
24,94,5,12,7,3,2,23,12,24
24,56,3,12,7,5,0,21,9,26
24,54,8,12,7,2,3,21,14,23
24,11,14,12,4,4,4,15,16,16
24,4,9,12,7,2,3,22,17,23
24,91,10,12,6,4,2,19,13,22
